learnerId,learnerName,problemId,attemptNumber,attemptId,stage,criterionId,score,confidence,evaluatorId,evaluatorKind,rubricVersion,promptVersion,unchangedFromPrevious,evidenceCount
0461c43b-8240-42b4-9198-f68b82057bcd,J1-sim,parking-lot,1,981a4ba4-a0cf-4b38-81e0-3e5f001e617d,design,requirement-coverage,3,high,rule-evaluator,deterministic,2.0.0,2.1.0,false,4
0461c43b-8240-42b4-9198-f68b82057bcd,J1-sim,parking-lot,1,981a4ba4-a0cf-4b38-81e0-3e5f001e617d,design,class-responsibilities,0,high,rule-evaluator,deterministic,2.0.0,2.1.0,false,2
0461c43b-8240-42b4-9198-f68b82057bcd,J1-sim,parking-lot,1,981a4ba4-a0cf-4b38-81e0-3e5f001e617d,design,coupling-cohesion,3,high,rule-evaluator,deterministic,2.0.0,2.1.0,false,1
0461c43b-8240-42b4-9198-f68b82057bcd,J1-sim,parking-lot,1,981a4ba4-a0cf-4b38-81e0-3e5f001e617d,design,abstraction-use,1,high,rule-evaluator,deterministic,2.0.0,2.1.0,false,2
0461c43b-8240-42b4-9198-f68b82057bcd,J1-sim,parking-lot,1,981a4ba4-a0cf-4b38-81e0-3e5f001e617d,design,behaviour,0,high,rule-evaluator,deterministic,2.0.0,2.1.0,false,2
0461c43b-8240-42b4-9198-f68b82057bcd,J1-sim,parking-lot,1,981a4ba4-a0cf-4b38-81e0-3e5f001e617d,design,edge-cases,2,medium,llm-evaluator:groq:openai/gpt-oss-120b:2.1.0,llm,2.0.0,2.1.0,false,3
0461c43b-8240-42b4-9198-f68b82057bcd,J1-sim,parking-lot,1,981a4ba4-a0cf-4b38-81e0-3e5f001e617d,change,change-resilience,3,high,rule-evaluator,deterministic,2.0.0,2.1.0,false,4
0461c43b-8240-42b4-9198-f68b82057bcd,J1-sim,parking-lot,1,981a4ba4-a0cf-4b38-81e0-3e5f001e617d,defend,reasoning,3,low,llm-evaluator:groq:openai/gpt-oss-120b:2.1.0,llm,2.0.0,2.1.0,false,2
27dca966-d26a-49ff-9efa-94c31bbbda30,S3-sim,parking-lot,1,f45a2d97-bc97-40a5-ae91-a7a0bee7053c,design,requirement-coverage,3,high,rule-evaluator,deterministic,2.0.0,2.1.0,false,4
27dca966-d26a-49ff-9efa-94c31bbbda30,S3-sim,parking-lot,1,f45a2d97-bc97-40a5-ae91-a7a0bee7053c,design,class-responsibilities,0,high,rule-evaluator,deterministic,2.0.0,2.1.0,false,3
27dca966-d26a-49ff-9efa-94c31bbbda30,S3-sim,parking-lot,1,f45a2d97-bc97-40a5-ae91-a7a0bee7053c,design,coupling-cohesion,2,high,rule-evaluator,deterministic,2.0.0,2.1.0,false,2
